ID,species,std_length
Xcor-PTHC-XI-21-M131-L.JPG,X. cortezi,23.47
Xcor-PTHC-XI-21-M06-L.JPG,X. cortezi,30.07
Xcor-PTHC-XI-21-M12-L.JPG,X. cortezi,30.59
Xcor-PTHC-XI-21-M49-L.JPG,X. cortezi,32.41
Xcor-PTHC-XI-21-M136-L.JPG,X. cortezi,25.6
Xcor-PTHC-XI-21-M149-L.JPG,X. cortezi,30.98
Xcor-PTHC-XI-21-M93-L.JPG,X. cortezi,36.63
Xcor-PTHC-XI-21-M70-L.JPG,X. cortezi,31.08
Xcor-PTHC-XI-21-M37-L.JPG,X. cortezi,28.16
Xcor-PTHC-XI-21-M73-L.JPG,X. cortezi,30.25
Xcor-PTHC-XI-21-M55-L.JPG,X. cortezi,22.17
Xcor-PTHC-XI-21-M92-L-1.JPG,X. cortezi,29.36
Xcor-PTHC-XI-21-M91-L.JPG,X. cortezi,27.74
Xcor-PTHC-XI-21-M11-L.JPG,X. cortezi,32.19
Xcor-PTHC-XI-21-M52-L.JPG,X. cortezi,30.28
Xcor-PTHC-XI-21-M86-L.JPG,X. cortezi,24.97
Xcor-PTHC-XI-21-M57-L.JPG,X. cortezi,27.34
Xcor-PTHC-XI-21-M105-L.JPG,X. cortezi,25.4
Xcor-PTHC-XI-21-M104-L.JPG,X. cortezi,32.24
Xcor-PTHC-XI-21-M148-L.JPG,X. cortezi,31.79
Xcor-PTHC-XI-21-M132-L.JPG,X. cortezi,31.95
Xcor-PTHC-XI-21-M54-L.JPG,X. cortezi,29.77
Xcor-PTHC-XI-21-M24-L.JPG,X. cortezi,32.63
Xcor-PTHC-XI-21-M61-L.JPG,X. cortezi,33.5
Xcor-PTHC-XI-21-M21-L.JPG,X. cortezi,31.43
Xcor-PTHC-XI-21-M96-L-1.JPG,X. cortezi,30.81
Xcor-PTHC-XI-21-M50-L.JPG,X. cortezi,32.56
Xcor-PTHC-XI-21-M128-L.JPG,X. cortezi,29.87
Xcor-PTHC-XI-21-M01-L.JPG,X. cortezi,32.92
Xcor-PTHC-XI-21-M19-L.JPG,X. cortezi,30.69
Xcor-PTHC-XI-21-M38-L.JPG,X. cortezi,27.69
Xcor-PTHC-XI-21-M139-L.JPG,X. cortezi,27.41
Xcor-PTHC-XI-21-M154-L.JPG,X. cortezi,31.39
Xcor-PTHC-XI-21-M13-L.JPG,X. cortezi,29.73
Xcor-PTHC-XI-21-M120-L.JPG,X. cortezi,28.88
Xcor-PTHC-XI-21-M28-L.JPG,X. cortezi,26.06
Xcor-PTHC-XI-21-M80-L.JPG,X. cortezi,26.58
Xcor-PTHC-XI-21-M67-L.JPG,X. cortezi,29.05
Xcor-PTHC-XI-21-M111-L.JPG,X. cortezi,32.3
Xcor-PTHC-XI-21-M59-L.JPG,X. cortezi,27.96
TABQ-19-XI-22_Xmul_54_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,30.65
TABQ-19-XI-22-Xmul-121-M.R1.fastq.pseudohap.txt_trim,X. multilineatus,19.663
TABQ-18-XI-22_Xmul_14_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,31.662
TABQ-18-XI-22_Xmul_26_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,28.29
TABQ-19-XI-22_Xmul_100_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,32.461
TABQ-18-XI-22_Xmul_05_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,34.725
TABQ-19-XI-22_Xmul_23_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,28.923
TABQ-19-XI-22_Xmul_03_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,32.77
TABQ-19-XI-22_Xmul_93_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,20.033
TABQ-19-XI-22_Xmul_105_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,34.052
TABQ-19-XI-22_Xmul_61_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,32.115
TABQ-18-XI-22_Xmul_04_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,33.142
TABQ-19-XI-22_Xmul_13_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,21.875
TABQ-19-XI-22_Xmul_22_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,35.723
TABQ-18-XI-22_Xmul_08_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,33.627
TABQ-19-XI-22_Xmul_17_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,20.418
TABQ-18-XI-22_Xmul_19_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,29.197
TABQ-19-XI-22-Xmul-126-M.R1.fastq.pseudohap.txt_trim,X. multilineatus,21.271
TABQ-19-XI-22_Xmul_67_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,21.991
TABQ-19-XI-22_Xmul_41_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,30.344
TABQ-19-XI-22_Xmul_36_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,20.276
TABQ-19-XI-22-Xmul-118-M.R1.fastq.pseudohap.txt_trim,X. multilineatus,19.512
TABQ-19-XI-22_Xmul_14_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,22.886
TABQ-19-XI-22_Xmul_62_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,29.551
TABQ-19-XI-22-Xmul-128-M.R1.fastq.pseudohap.txt_trim,X. multilineatus,21.014
TABQ-19-XI-22_Xmul_115_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,19.92
TABQ-18-XI-22_Xmul_01_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,35.529
TABQ-19-XI-22_Xmul_69_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,21.116
TABQ-19-XI-22_Xmul_37_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,19.23
TABQ-19-XI-22_Xmul_56_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,32.603
TABQ-19-XI-22-Xmul-131-M.R1.fastq.pseudohap.txt_trim,X. multilineatus,22.073
TABQ-19-XI-22_Xmul_113_M.R1.fastq.pseudohap.txt_trim,X. multilineatus,34.709
