"","species","std_length","sword_presence","sword_pigmentation","false_gravid_spot","atro","carbo","cb","sword_residuals","upper_sword_edge_width_residuals","upper_sword_edge_length_residuals","lower_sword_edge_width_residuals","lower_sword_edge_length_residuals","dorsal_fin_length_residuals","dorsal_fin_height_residuals","body_depth_residuals","peduncle_depth_residuals","caudal_fin_height_residuals","caudal_fin_length_residuals","peduncle_edge_residuals","lower_edge_2_peduncle_residuals","vertical_bars_residuals","label","tactic","PC1","PC2"
"1","Xcle",34.4064,1,1,0,0,0,0,2.96503785329805,0.23337263698838,-0.476437642970205,0.177959412979655,13.754402521789,-1.01438486927579,-0.996389762024597,-1.56589397699354,-0.20945203208979,-1.64560743038198,0.446914174187246,-0.459893072073931,9.27341940502471,-0.678876811541853,"","courter",-11.5182078463272,4.80020257623815
"2","Xalv",43.6265,1,1,0,0,0,0,17.5470460541594,1.05456212228891,21.2502732145025,0.545921043949088,24.6149965086277,0.77186229323982,-0.0894085400399322,-2.04417917316511,-0.864252774765775,-0.422635945357011,0.628644161313515,-1.06847406989546,22.668557059234,-0.879021821035286,"","courter",-42.9770529857303,-0.893782111988504
"3","Xsig",38.241,1,1,0,0,0,0,7.6933688634848,0.912007814517193,6.01201575277006,0.44698594958071,24.6597415530285,-1.8763024168748,-1.58896587900571,-1.39888215100895,-0.517213518176202,-0.352513726791264,-0.221513504619449,9.17858533984715,12.7645785029554,-0.762116261591583,"","courter",-24.387326540792,5.34480641346483
"4","Xmay",44.2436,1,1.4,0,0,0,0,10.484213781272,0.106798936572805,18.2588620139891,0.31874734545029,25.4162465936895,2.24897065692225,-0.439527157832935,-1.25999542836381,0.00396745079518844,1.0446051239816,3.21421277066218,5.68232564011249,16.9114374820507,-0.892417498452927,"","courter",-29.1009166118585,7.84870363727265
"5","Xhel",63.978,1,1,0,0,0,0,20.6296222951795,0.816130759298671,27.0252434182807,0.66031808657058,42.6547522469762,-0.857167258724217,0.791632409539889,-1.13852135056945,0.563050580450509,-2.53143918203714,1.48709208411264,12.5409267698823,28.4823538911165,-1.32080132024957,"","courter",-93.1768217965251,-19.872041111321
"6","Xpyg",25.6592,0.2,0,0,0,0,0,-1.11007545507977,-0.0513477679769437,-1.25496265815282,-0.0486216022388164,-3.3694567944522,1.44637001841995,0.523638488759639,-0.479727379239502,0.0696641289426703,0.572485647370935,0.715040766806535,4.99439553045147,-2.47944070591762,-0.488997262834036,"Xpyg","sneaker",11.7319667507592,0.46259785956971
"7","Xnig_small",25.9516,0.2,0,0,0,0,0,-0.0811926752908414,-0.0548603518424251,-1.36323793773493,0.0328294276735992,0.747441868442095,2.06885938082595,0.751371264901798,0.65602910590051,1.20485002094401,0.187100699509339,1.25356363404612,5.6561639880861,0.172970403516203,-0.495344525963056,"Xnig small","sneaker",11.6834365051634,6.03398816876743
"8","Xnig_large",31.2574,0.8,0.6,0,0,0,0,2.33524758806097,-0.118598612695611,-3.327967686048,0.285318328184181,16.9030502322742,3.31990513682375,2.1276536303432,1.73735249460051,2.03962343332671,-0.0283476464689628,2.01997754991412,4.88530845634116,9.28665735438481,-0.610520000347309,"Xnig large","courter",-4.90690467868329,12.9656223870524
"9","Xmul_small",28.6548,1,1,0,0,0,0.8,0.332546621307715,-0.0443337331870538,-1.79062882612874,0.186166582458967,12.6842040624771,0.981757207282518,1.21602858524203,-0.608905331067743,1.00017841785926,2.89606666715822,2.05313810299979,2.16187812857143,7.98454615940372,-0.154024148707131,"Xmul small","sneaker",-13.7786905003266,-3.9031120668325
"10","Xmul_large",39.4172,1,0.8,0,0,0,1,18.857616215016,-0.0618218063534611,1.09087066438267,0.453223505610064,33.7447581306491,1.86070164626452,2.38515700505176,1.55968425740994,3.32147090785654,5.41046884614031,2.20799099759397,3.46021317797931,27.6406617687422,9.01235141661514,"Xmul large","courter",-48.2818574608655,9.27777996484954
